epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,224.136,0.38503,0.54066,0.89706,0.98986,1,0.995,0.97594,0.27584,0.3707,0.82233,0.000742815,0.000742815,0.000742815
58,229.025,0.36084,0.53592,0.86643,0.99091,1,0.995,0.97457,0.26852,0.36504,0.82422,0.000726312,0.000726312,0.000726312
59,234.001,0.3598,0.50124,0.89358,0.99285,1,0.995,0.98123,0.2548,0.37242,0.838,0.000709809,0.000709809,0.000709809
60,238.817,0.38851,0.59183,0.90161,0.99294,1,0.995,0.98333,0.26014,0.37301,0.84229,0.000693305,0.000693305,0.000693305
61,243.393,0.35139,0.52009,0.87947,0.9922,1,0.995,0.98201,0.27018,0.38319,0.83779,0.000676802,0.000676802,0.000676802
62,248.231,0.36766,0.4902,0.85281,0.99146,1,0.995,0.97486,0.27332,0.38684,0.83381,0.000660299,0.000660299,0.000660299
63,252.83,0.37518,0.56993,0.87195,0.99138,1,0.995,0.97512,0.2639,0.37717,0.82951,0.000643795,0.000643795,0.000643795
64,257.419,0.33295,0.46294,0.85258,0.99189,1,0.995,0.96404,0.26024,0.37368,0.82982,0.000627292,0.000627292,0.000627292
65,261.978,0.32443,0.47652,0.88694,0.99227,1,0.995,0.9708,0.26398,0.36698,0.83019,0.000610789,0.000610789,0.000610789
66,266.465,0.36638,0.48613,0.89367,0.99319,1,0.995,0.97028,0.25485,0.35055,0.82993,0.000594286,0.000594286,0.000594286
67,271.173,0.32551,0.48545,0.88441,0.99334,1,0.995,0.97883,0.24561,0.332,0.82764,0.000577782,0.000577782,0.000577782
68,275.612,0.31015,0.4329,0.85834,0.99311,1,0.995,0.97883,0.25772,0.33386,0.82866,0.000561279,0.000561279,0.000561279
69,280.179,0.35542,0.52984,0.9008,0.99296,1,0.995,0.95442,0.27487,0.33603,0.83555,0.000544776,0.000544776,0.000544776
70,285.739,0.35424,0.49207,0.8787,0.99339,1,0.995,0.95442,0.28373,0.3345,0.84139,0.000528272,0.000528272,0.000528272
71,290.897,0.29536,0.53453,0.88093,0.99346,1,0.995,0.95547,0.27623,0.32533,0.84197,0.000511769,0.000511769,0.000511769
72,296.641,0.33164,0.42309,0.87678,0.99363,1,0.995,0.97303,0.25818,0.31409,0.84173,0.000495266,0.000495266,0.000495266
73,301.812,0.35143,0.46089,0.86258,0.99359,1,0.995,0.97303,0.24172,0.30709,0.83968,0.000478762,0.000478762,0.000478762
74,307.088,0.36285,0.54158,0.89066,0.99354,1,0.995,0.9889,0.22873,0.30238,0.83512,0.000462259,0.000462259,0.000462259
75,312.052,0.27551,0.46654,0.85129,0.99345,1,0.995,0.98952,0.23156,0.31187,0.82906,0.000445756,0.000445756,0.000445756
76,316.65,0.32173,0.42989,0.85347,0.99365,1,0.995,0.98952,0.22104,0.31511,0.82606,0.000429253,0.000429253,0.000429253
77,321.268,0.32485,0.45378,0.85218,0.99349,1,0.995,0.995,0.223,0.30829,0.82641,0.000412749,0.000412749,0.000412749
78,325.918,0.30114,0.43347,0.85985,0.99361,1,0.995,0.98092,0.23865,0.29873,0.82594,0.000396246,0.000396246,0.000396246
79,330.609,0.31729,0.43394,0.8561,0.99364,1,0.995,0.9889,0.24862,0.28543,0.82445,0.000379743,0.000379743,0.000379743
80,335.175,0.30972,0.4013,0.84535,0.99329,1,0.995,0.98951,0.25234,0.29262,0.82413,0.000363239,0.000363239,0.000363239
81,339.715,0.34026,0.42309,0.91832,0.9933,1,0.995,0.98265,0.2553,0.3107,0.82366,0.000346736,0.000346736,0.000346736
82,344.375,0.3166,0.39661,0.87189,0.99328,1,0.995,0.98059,0.25467,0.30701,0.82304,0.000330233,0.000330233,0.000330233
83,349.332,0.30421,0.40956,0.88893,0.99278,1,0.995,0.97969,0.24157,0.29592,0.81826,0.000313729,0.000313729,0.000313729
84,354.07,0.24924,0.3792,0.85695,0.99312,1,0.995,0.97725,0.2402,0.29669,0.81762,0.000297226,0.000297226,0.000297226
85,358.696,0.31682,0.42265,0.87313,0.99316,1,0.995,0.97786,0.23295,0.28923,0.81789,0.000280723,0.000280723,0.000280723
86,363.11,0.29605,0.40441,0.84804,0.99305,1,0.995,0.9726,0.22923,0.28204,0.82045,0.00026422,0.00026422,0.00026422
87,367.668,0.2762,0.40353,0.87131,0.99304,1,0.995,0.97084,0.22356,0.27871,0.82115,0.000247716,0.000247716,0.000247716
88,372.317,0.29522,0.4085,0.87116,0.99328,1,0.995,0.96993,0.22559,0.28303,0.82234,0.000231213,0.000231213,0.000231213
89,377.05,0.24735,0.37938,0.86421,0.99328,1,0.995,0.97084,0.2293,0.29276,0.82314,0.00021471,0.00021471,0.00021471
90,381.6,0.27792,0.38705,0.84108,0.99347,1,0.995,0.97084,0.22752,0.30145,0.82272,0.000198206,0.000198206,0.000198206
91,386.419,0.19836,0.48193,0.80462,0.99336,1,0.995,0.96471,0.22313,0.29148,0.8214,0.000181703,0.000181703,0.000181703
92,391.071,0.19725,0.4549,0.78752,0.9933,1,0.995,0.96297,0.22387,0.2977,0.82216,0.0001652,0.0001652,0.0001652
93,395.543,0.19782,0.44157,0.79815,0.99288,1,0.995,0.96392,0.2233,0.30143,0.82132,0.000148696,0.000148696,0.000148696
94,399.956,0.19307,0.45619,0.81391,0.99252,1,0.995,0.96392,0.22581,0.30232,0.82178,0.000132193,0.000132193,0.000132193
95,404.362,0.18729,0.44474,0.75753,0.99226,1,0.995,0.95502,0.22432,0.30228,0.82079,0.00011569,0.00011569,0.00011569
96,408.766,0.18467,0.44965,0.77039,0.99207,1,0.995,0.96296,0.22135,0.30279,0.81992,9.91865e-05,9.91865e-05,9.91865e-05
97,413.392,0.19656,0.44849,0.80339,0.99194,1,0.995,0.96296,0.2195,0.29883,0.81857,8.26832e-05,8.26832e-05,8.26832e-05
98,417.97,0.18459,0.43755,0.80209,0.99173,1,0.995,0.97791,0.21962,0.29381,0.81845,6.61799e-05,6.61799e-05,6.61799e-05
99,422.403,0.19185,0.44576,0.7794,0.99206,1,0.995,0.97974,0.21898,0.27286,0.81888,4.96766e-05,4.96766e-05,4.96766e-05
100,426.893,0.17908,0.44037,0.78754,0.9922,1,0.995,0.98044,0.21834,0.26691,0.81944,3.31733e-05,3.31733e-05,3.31733e-05
